First Name,Last Name,Student Number,User ID,Email,Contact Number,Programme
Jing En,Wong,A0000001H,e0000001,wongjinen@u.nus.edu,90000000,Bachelor of Computing
Jason,Tan,A0000002H,e0000002,jasontan@u.nus.edu,90000001,Bachelor of Science
Brandon,Tay,A0000003H,e0000003,brandontan@u.nus.edu,90000002,Bachelor of Computing
Zhen Yong,Lim,A0000004H,e0000004,limzhenyong@u.nus.edu,90000003,Bachelor of Science
Darryl,Ee,A0000005H,e0000005,darrylee@u.nus.edu,90000004,Bachelor of Computing
Jason,Lee,A0000006H,e0000006,jasonlee@u.nus.edu,90000005,Bachelor of Science
Feiyang,Shang ,A0000007H,e0000007,shangfeiyang@u.nus.edu,90000006,Bachelor of Computing
Jia Wei,Ho ,A0000008H,e0000008,hojiawei@u.nus.edu,90000007,Bachelor of Computing
Qi En,Wong,A0000009H,e0000009,wongqien@u.nus.edu,90000008,Bachelor of Computing
Yongxin,Wu ,A0000010H,e0000010,wuyongxin@u.nus.edu,90000009,Bachelor of Computing
Joshua,Chan,A0000011H,e0000011,joshuachan@u.nus.edu,90000010,Bachelor of Science
 Jia Wei,Hor,A0000012H,e0000012,horjiawei@u.nus.edu,90000011,Bachelor of Computing
Xiaoying,Yan,A0000013H,e0000013,yanxiaoying@u.nus.edu,90000012,Bachelor of Computing
Donovan,Singh,A0000014H,e0000014,donovansingh@u.nus.edu,90000013,Bachelor of Computing
Brandon,Lau,A0000015H,e0000015,brandonlau@u.nus.edu,90000014,Bachelor of Computing
Kai Wen,Ng ,A0000016H,e0000016,ngkaiwen@u.nus.edu,90000015,Bachelor of Science
Jun Kang,Ang,A0000017H,e0000017,angjunkang@u.nus.edu,90000016,Bachelor of Computing
